FeedbackID,Rating,Description,CustomerID
F0455,Excellent,Refund/Cashback option present,C0659
F0896,Good,Refund/Cashback option present,C0168
F0913,Okay,Overall experience is nice,C6482
F0944,Worst,Payment process is fast,C2852
F0948,Good,Overall experience is nice,C5392
F0975,Bad,Refund/Cashback option present,C8938
F1289,Okay,Refund/Cashback option present,C6246
F2036,Bad,Overall experience is nice,C9019
F2104,Worst,Product quality is Good,C6111
F5039,Okay,Product quality is Good,C8973
F5502,Worst,Refund/Cashback option present,C5166
F5965,Excellent,Coupon availability present,C7632
F6029,Worst,Overall experience is nice,C5280
F6113,Good,Coupon availability present,C0960
F7916,Excellent,Overall experience is nice,C0917
F8009,Good,Overall experience is nice,C8830
F8269,Bad,Payment process is fast,C1799
F8637,Good,Coupon availability present,C7853
F8851,Bad,Overall experience is nice,C0302
F8894,Excellent,Payment process is fast,C9288
F8940,Okay,Coupon availability present,C3721
F9155,Okay,Overall experience is nice,C4230
F9487,Excellent,Payment process is fast,C1978
